"DRS_id","DRS","Município","Janeiro Notificados","Janeiro Confirmados","Fevereiro Notificados","Fevereiro Confirmados","Março Notificados","Março Confirmados","Abril Notificados","Abril Confirmados","Maio Notificados","Maio Confirmados","Junho Notificados","Junho Confirmados","Julho Notificados","Julho Confirmados","Agosto Notificados","Agosto Confirmados","Setembro Notificados","Setembro Confirmados","Outubro Notificados","Outubro Confirmados","Novembro Notificados","Novembro Confirmados","Dezembro Notificados","Dezembro Confirmados","Total Notificados","Total Confirmados"
"6","Bauru","350500 Barão de Antonina","0.00","0.00","9.00","7.00","30.00","29.00","195.00","171.00","80.00","73.00","10.00","8.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","326.00","290.00"
"2","Araçatuba","350510 Barbosa","26.00","7.00","78.00","24.00","97.00","29.00","77.00","21.00","21.00","6.00","12.00","0.00","2.00","0.00","2.00","0.00","7.00","0.00","6.00","0.00","9.00","0.00","1.00","0.00","338.00","87.00"
"6","Bauru","350520 Bariri","3.00","0.00","5.00","0.00","8.00","2.00","39.00","29.00","91.00","61.00","34.00","29.00","7.00","5.00","8.00","6.00","10.00","4.00","4.00","1.00","74.00","66.00","61.00","44.00","344.00","247.00"
"6","Bauru","350530 Barra Bonita","13.00","0.00","25.00","3.00","120.00","35.00","139.00","60.00","122.00","35.00","18.00","3.00","3.00","3.00","6.00","2.00","9.00","1.00","8.00","0.00","11.00","0.00","24.00","0.00","498.00","142.00"
"16","Sorocaba","350535 Barra do Chapéu","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","13.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","16.00","0.00"
"12","Registro","350540 Barra do Turvo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00"
"5","Barretos","350550 Barretos","238.00","6.00","555.00","31.00","1,315.00","90.00","2,182.00","169.00","1,616.00","364.00","465.00","93.00","251.00","28.00","236.00","20.00","174.00","12.00","187.00","3.00","171.00","9.00","174.00","8.00","7,564.00","833.00"
"13","Riberão Preto","350560 Barrinha","30.00","1.00","61.00","7.00","184.00","41.00","215.00","82.00","160.00","57.00","65.00","25.00","15.00","6.00","23.00","3.00","25.00","11.00","26.00","11.00","14.00","1.00","26.00","0.00","844.00","245.00"
"1","São Paulo","350570 Barueri","53.00","3.00","69.00","5.00","178.00","29.00","241.00","46.00","152.00","37.00","73.00","8.00","24.00","3.00","25.00","2.00","29.00","4.00","38.00","3.00","21.00","3.00","26.00","4.00","929.00","147.00"
"9","Marília","350580 Bastos","89.00","52.00","453.00","344.00","831.00","601.00","819.00","549.00","292.00","129.00","55.00","11.00","10.00","0.00","11.00","2.00","9.00","2.00","11.00","1.00","14.00","0.00","3.00","0.00","2,597.00","1,691.00"
