DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados
7,Campinas,351907 Hortolândia,64,16,86,37,325,160,808,407,866,311,298,74,209,44,22,137,12,127,23,120,14,123,19,"3,301","1,139"
6,Bauru,351910 Iacanga,3,0,5,2,9,6,54,33,98,65,29,21,19,11,6,1,0,4,4,9,4,15,10,256,162
9,Marília,351920 Iacri,27,14,23,7,32,15,196,176,72,72,9,9,2,2,7,5,4,11,7,20,17,27,21,431,351
6,Bauru,351925 Iaras,0,0,1,0,44,27,191,119,134,90,23,8,2,1,0,2,0,1,0,0,0,1,0,399,245
3,Araraquara,351930 Ibaté,6,0,41,22,361,230,641,374,758,508,252,158,86,53,19,20,1,16,1,14,0,5,1,"2,228","1,367"
15,São José do Rio Preto,351940 Ibirá,8,0,15,8,169,126,571,406,374,250,49,30,19,11,5,6,0,5,0,4,0,7,0,"1,235",836
9,Marília,351950 Ibirarema,2,0,0,0,3,0,11,0,23,0,13,0,3,0,0,0,0,0,0,0,0,1,1,56,1
3,Araraquara,351960 Ibitinga,11,0,12,3,93,54,351,163,468,178,227,45,146,40,10,58,4,25,0,24,2,28,3,"1,516",502
16,Sorocaba,351970 Ibiúna,3,0,3,0,5,1,3,2,9,2,8,0,0,0,0,3,0,3,1,2,0,1,0,41,6
15,São José do Rio Preto,351980 Icém,72,61,44,41,40,35,27,21,16,12,8,3,3,2,0,1,0,3,1,1,0,3,0,218,176
11,Presidente Prudente,351990 Iepê,1,0,3,0,12,1,30,6,85,51,31,9,25,5,8,24,4,10,3,9,3,70,34,331,124
6,Bauru,352000 Igaraçu do Tietê,3,0,0,0,5,1,53,10,70,16,34,2,11,0,0,5,0,8,0,1,0,5,0,195,29
8,Franca,352010 Igarapava,2,2,3,0,4,2,11,6,24,19,12,11,6,6,7,12,7,2,2,5,5,4,3,92,70
17,Taubaté,352020 Igaratá,1,1,1,0,2,1,7,1,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,20,4
12,Registro,352030 Iguape,3,1,0,0,1,0,6,2,6,3,4,2,0,0,0,2,0,1,0,2,0,2,0,28,8
17,Taubaté,352040 Ilhabela,574,109,204,41,212,23,258,62,271,43,296,56,210,38,12,100,15,59,7,1,0,1,0,"2,314",406
12,Registro,352042 Ilha Comprida,1,0,0,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
2,Araçatuba,352044 Ilha Solteira,12,0,15,3,26,7,21,8,34,13,40,4,40,9,3,10,0,15,1,9,3,17,6,260,57
7,Campinas,352050 Indaiatuba,9,3,34,25,191,143,738,678,533,400,207,91,51,21,8,81,0,88,1,44,1,25,1,"2,069","1,372"
11,Presidente Prudente,352060 Indiana,6,1,0,0,9,4,70,34,173,108,126,53,58,25,0,2,1,3,0,5,2,10,6,466,234
15,São José do Rio Preto,352070 Indiaporã,9,0,3,0,5,0,12,2,15,1,17,1,10,1,0,5,0,9,0,4,0,3,0,96,5
