DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Notificados,Agosto Confirmados,Setembro Notificados,Setembro Confirmados,Outubro Notificados,Outubro Confirmados,Novembro Notificados,Novembro Confirmados,Dezembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
7.0,Campinas,12.00,0,19,0,60,10,67,7,48,16,16,1,15,3,25,5,11,0,17,0,11,1,12,4,313,47,350380,Artur Nogueira
1.0,São Paulo,9.00,0,10,4,40,13,65,42,34,20,16,8,6,1,3,1,12,0,14,2,15,0,14,2,238,93,350390,Arujá
15.0,São José do Rio Preto,2.00,1,10,1,29,11,7,4,3,1,2,1,2,1,1,0,3,0,2,0,1,0,1,0,63,20,350395,Aspásia
9.0,Marília,140.00,32,200,126,731,506,1574,1517,1295,1059,183,47,104,51,56,36,54,26,55,34,40,31,59,52,4491,3517,350400,Assis
7.0,Campinas,65.00,27,69,35,111,70,173,124,142,87,67,46,31,20,38,23,85,54,106,73,88,52,77,41,1052,652,350410,Atibaia
2.0,Araçatuba,2.00,0,6,1,51,7,19,5,4,1,2,0,2,1,9,1,1,0,2,0,0,0,1,0,99,16,350420,Auriflama
6.0,Bauru,4.00,3,4,1,11,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,14,350430,Avaí
2.0,Araçatuba,3.00,2,0,0,2,1,32,25,11,11,3,2,3,3,1,1,1,1,0,0,1,0,1,1,58,47,350440,Avanhandava
6.0,Bauru,8.00,0,15,3,130,53,247,95,260,130,56,23,14,4,8,0,5,0,10,0,9,0,8,2,770,310,350450,Avaré
15.0,São José do Rio Preto,108.00,10,125,17,213,35,226,52,155,68,52,19,44,11,27,3,35,4,55,5,98,4,63,3,1201,231,350460,Bady Bassitt
6.0,Bauru,0.00,0,10,3,127,84,99,62,9,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,247,157,350470,Balbinos
15.0,São José do Rio Preto,13.00,0,14,1,27,1,10,2,11,3,4,3,12,3,11,1,5,1,13,2,21,0,14,0,155,17,350480,Bálsamo
17.0,Taubaté,0.00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,4,2,350490,Bananal
6.0,Bauru,0.00,0,9,7,30,29,195,171,80,73,10,8,1,1,0,0,0,0,1,1,0,0,0,0,326,290,350500,Barão de Antonina
2.0,Araçatuba,26.00,7,78,24,97,29,77,21,21,6,12,0,2,0,2,0,7,0,6,0,9,0,1,0,338,87,350510,Barbosa
6.0,Bauru,3.00,0,5,0,8,2,39,29,91,61,34,29,7,5,8,6,10,4,4,1,74,66,61,44,344,247,350520,Bariri
6.0,Bauru,13.00,0,25,3,120,35,139,60,122,35,18,3,3,3,6,2,9,1,8,0,11,0,24,0,498,142,350530,Barra Bonita
16.0,Sorocaba,0.00,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,350535,Barra do Chapéu
12.0,Registro,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,350540,Barra do Turvo
5.0,Barretos,238.00,6,555,31,1315,90,2182,169,1616,364,465,93,251,28,236,20,174,12,187,3,171,9,174,8,7564,833,350550,Barretos
13.0,Riberão Preto,30.00,1,61,7,184,41,215,82,160,57,65,25,15,6,23,3,25,11,26,11,14,1,26,0,844,245,350560,Barrinha
1.0,São Paulo,53.00,3,69,5,178,29,241,46,152,37,73,8,24,3,25,2,29,4,38,3,21,3,26,4,929,147,350570,Barueri
9.0,Marília,89.00,52,453,344,831,601,819,549,292,129,55,11,10,0,11,2,9,2,11,1,14,0,3,0,2597,1691,350580,Bastos
13.0,Riberão Preto,26.00,12,109,52,311,112,843,287,961,234,327,52,156,16,132,2,113,2,39,1,75,1,16,2,3108,773,350590,Batatais
6.0,Bauru,367.00,153,1155,571,6934,4288,7339,5295,4266,3027,835,561,254,157,207,124,172,68,235,19,345,24,355,62,22464,14349,350600,Bauru
5.0,Barretos,8.00,1,55,5,227,42,377,113,284,98,102,24,49,11,38,4,26,3,37,7,31,5,70,26,1304,339,350610,Bebedouro
2.0,Araçatuba,0.00,0,1,1,9,4,18,14,10,7,5,5,0,0,2,2,3,1,0,0,0,0,1,0,49,34,350620,Bento de Abreu
9.0,Marília,8.00,0,7,0,37,7,72,15,83,15,25,1,4,0,1,0,0,0,0,0,0,0,0,0,237,38,350630,Bernardino de Campos
4.0,Baixada Santista,141.00,6,320,53,566,140,814,295,780,282,471,142,259,62,178,35,202,34,271,51,322,88,488,179,4812,1367,350635,Bertioga
2.0,Araçatuba,19.00,1,31,1,13,1,8,3,2,0,3,1,2,0,0,0,2,1,0,0,1,0,1,1,82,9,350640,Bilac
2.0,Araçatuba,173.00,43,396,89,851,382,831,425,464,231,166,85,113,59,202,76,197,99,182,93,184,82,133,62,3892,1726,350650,Birigui
1.0,São Paulo,20.00,0,22,1,39,0,25,3,31,2,19,1,5,0,4,0,12,0,12,0,10,0,6,0,205,7,350660,Biritiba-Mirim
3.0,Araraquara,232.00,135,696,429,1184,670,577,335,279,131,87,28,10,1,18,2,23,6,15,0,14,1,22,2,3157,1740,350670,Boa Esperança do Sul
6.0,Bauru,1.00,0,2,0,11,6,10,3,4,2,0,0,1,0,1,0,2,0,2,0,1,1,2,0,37,12,350680,Bocaina
6.0,Bauru,0.00,0,5,0,26,1,57,1,52,1,7,0,4,0,3,0,7,0,5,0,5,0,9,0,180,3,350690,Bofete
16.0,Sorocaba,26.00,2,49,6,132,24,163,54,135,34,42,7,10,3,9,1,23,0,32,5,32,0,29,6,682,142,350700,Boituva
7.0,Campinas,8.00,1,1,0,4,1,12,1,9,1,2,0,1,0,3,0,5,0,7,0,7,1,3,0,62,5,350710,Bom Jesus dos Perdões
16.0,Sorocaba,0.00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,350715,Bom Sucesso de Itararé
9.0,Marília,1.00,0,2,0,3,0,16,10,27,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,21,350720,Borá
6.0,Bauru,2.00,0,3,3,13,9,12,12,28,26,7,6,6,6,2,1,0,0,1,1,17,12,75,69,166,145,350730,Boracéia
3.0,Araraquara,26.00,13,108,76,395,276,382,255,164,84,22,4,5,4,7,3,0,0,6,3,5,5,20,20,1140,743,350740,Borborema
6.0,Bauru,3.00,0,8,1,23,13,44,13,44,13,10,2,1,0,3,0,2,0,2,1,7,2,5,0,152,45,350745,Borebi
6.0,Bauru,57.00,4,94,9,276,19,301,49,250,33,86,14,34,9,47,13,61,15,119,25,109,48,247,130,1681,368,350750,Botucatu
7.0,Campinas,31.00,2,36,5,76,24,90,40,66,37,25,6,21,8,25,5,15,4,38,9,21,3,53,25,497,168,350760,Bragança Paulista
2.0,Araçatuba,1.00,1,5,2,38,31,112,102,26,24,4,4,2,1,1,0,1,0,0,0,0,0,1,0,191,165,350770,Braúna
2.0,Araçatuba,2.00,1,9,7,21,14,15,5,7,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,57,28,350775,Brejo Alegre
13.0,Riberão Preto,15.00,1,24,4,48,8,104,36,119,50,32,18,12,5,19,13,27,11,35,20,180,143,482,464,1097,773,350780,Brodósqui
6.0,Bauru,8.00,0,5,0,34,4,49,12,67,12,24,2,9,0,6,0,13,0,2,0,1,0,5,0,223,30,350790,Brotas
16.0,Sorocaba,10.00,3,58,9,50,6,40,3,33,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,199,25,350800,Buri
2.0,Araçatuba,13.00,0,25,3,35,2,26,2,23,1,7,1,2,1,8,0,8,0,6,0,6,0,4,1,163,11,350810,Buritama
8.0,Franca,5.00,0,18,11,59,38,46,32,43,29,7,6,0,0,2,1,2,0,0,0,1,0,1,0,184,117,350820,Buritizal
6.0,Bauru,1.00,0,1,0,8,2,17,4,15,2,3,0,1,0,1,0,1,0,0,0,1,0,2,0,51,8,350830,Cabrália Paulista
7.0,Campinas,14.00,1,31,1,57,11,71,49,70,43,30,16,9,2,5,0,20,8,11,3,6,1,12,6,336,141,350840,Cabreúva
17.0,Taubaté,27.00,1,37,2,150,41,279,81,229,90,117,38,52,2,86,4,88,0,109,1,56,0,73,4,1303,264,350850,Caçapava
17.0,Taubaté,24.00,1,15,1,41,2,65,8,75,3,18,0,23,0,14,1,19,2,28,3,7,1,5,1,334,23,350860,Cachoeira Paulista
14.0,São João da Boa Vista,0.00,0,2,0,6,0,18,5,25,6,9,3,2,0,0,0,1,0,7,1,3,0,2,1,75,16,350870,Caconde
