DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
16.0,SOROCABA,1.00,0,19,13,86,57,106,70,350945,Campina do Monte Alegre
7.0,CAMPINAS,"4,685.00",3978,13917,12301,32265,27906,50867,44185,350950,Campinas
7.0,CAMPINAS,39.00,22,312,97,391,175,742,294,350960,Campo Limpo Paulista
17.0,TAUBATÉ,21.00,0,118,1,184,2,323,3,350970,Campos do Jordão
9.0,MARÍLIA,1.00,0,27,1,21,0,49,1,350980,Campos Novos Paulista
12.0,REGISTRO,13.00,1,88,16,545,281,646,298,350990,Cananéia
17.0,TAUBATÉ,9.00,0,67,18,101,19,177,37,350995,Canas
9.0,MARÍLIA,80.00,32,225,117,393,190,698,339,351000,Cândido Mota
3.0,ARARAQUARA,3.00,1,9,4,4,0,16,5,351010,Cândido Rodrigues
9.0,MARÍLIA,4.00,0,60,6,64,8,128,14,351015,Canitar
16.0,SOROCABA,21.00,0,108,7,150,30,279,37,351020,Capão Bonito
16.0,SOROCABA,34.00,1,263,35,482,169,779,205,351030,Capela do Alto
10.0,PIRACICABA,226.00,101,605,283,119,56,950,440,351040,Capivari
17.0,TAUBATÉ,969.00,95,2622,460,3605,2036,7196,2591,351050,Caraguatatuba
1.0,GRANDE SÃO PAULO,111.00,15,1280,98,2298,331,3689,444,351060,Carapicuíba
15.0,SÃO JOSÉ DO RIO PRETO,21.00,7,59,11,63,14,143,32,351070,Cardoso
14.0,SÃO JOÃO DA BOA VISTA,145.00,60,534,175,889,408,1568,643,351080,Casa Branca
13.0,RIBEIRÃO PRETO,2.00,1,12,6,55,17,69,24,351090,Cássia dos Coqueiros
2.0,ARAÇATUBA,28.00,6,75,14,86,3,189,23,351100,Castilho
15.0,SÃO JOSÉ DO RIO PRETO,573.00,268,1449,680,1942,526,3964,1474,351110,Catanduva
15.0,SÃO JOSÉ DO RIO PRETO,74.00,26,195,76,91,57,360,159,351120,Catiguá
