DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
11.0,PRESIDENTE PRUDENTE,12.00,6,52,22,39,16,103,44,355510,Tupi Paulista
2.0,ARAÇATUBA,2.00,1,3,1,0,0,5,2,355520,Turiúba
15.0,SÃO JOSÉ DO RIO PRETO,1.00,1,7,3,9,1,17,5,355530,Turmalina
15.0,SÃO JOSÉ DO RIO PRETO,11.00,0,37,2,77,4,125,6,355535,Ubarana
17.0,TAUBATÉ,"1,108.00",423,2334,921,2182,1516,5624,2860,355540,Ubatuba
9.0,MARÍLIA,5.00,0,10,3,27,19,42,22,355550,Ubirajara
15.0,SÃO JOSÉ DO RIO PRETO,26.00,5,70,6,75,5,171,16,355560,Uchoa
15.0,SÃO JOSÉ DO RIO PRETO,7.00,0,12,0,11,1,30,1,355570,União Paulista
15.0,SÃO JOSÉ DO RIO PRETO,11.00,3,43,5,29,4,83,12,355580,Urânia
6.0,BAURU,2.00,0,8,2,4,1,14,3,355590,Uru
15.0,SÃO JOSÉ DO RIO PRETO,6.00,2,26,12,103,54,135,68,355600,Urupês
15.0,SÃO JOSÉ DO RIO PRETO,39.00,3,66,4,106,24,211,31,355610,Valentim Gentil
7.0,CAMPINAS,708.00,223,2217,788,2448,1357,5373,2368,355620,Valinhos
2.0,ARAÇATUBA,17.00,0,82,8,76,5,175,13,355630,Valparaíso
7.0,CAMPINAS,23.00,2,195,91,188,33,406,126,355635,Vargem
14.0,SÃO JOÃO DA BOA VISTA,339.00,284,1492,893,677,285,2508,1462,355640,Vargem Grande do Sul
1.0,GRANDE SÃO PAULO,52.00,15,309,65,315,51,676,131,355645,Vargem Grande Paulista
7.0,CAMPINAS,214.00,91,965,326,1373,624,2552,1041,355650,Várzea Paulista
9.0,MARÍLIA,33.00,5,128,19,135,36,296,60,355660,Vera Cruz
7.0,CAMPINAS,204.00,18,875,121,1133,731,2212,870,355670,Vinhedo
5.0,BARRETOS,53.00,9,90,25,123,62,266,96,355680,Viradouro
5.0,BARRETOS,10.00,5,66,39,250,118,326,162,355690,Vista Alegre do Alto
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,2,2,5,0,8,2,355695,Vitória Brasil
16.0,SOROCABA,665.00,288,1744,748,2288,1206,4697,2242,355700,Votorantim
15.0,SÃO JOSÉ DO RIO PRETO,"1,204.00",603,2486,860,2982,608,6672,2071,355710,Votuporanga
15.0,SÃO JOSÉ DO RIO PRETO,3.00,1,8,1,11,0,22,2,355715,Zacarias
9.0,MARÍLIA,23.00,11,72,14,62,46,157,71,355720,Chavantes
14.0,SÃO JOÃO DA BOA VISTA,7.00,0,37,4,48,16,92,20,355730,Estiva Gerbi
,,,0,0,0,0,0,0,0,,
