DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19
6.00,BAURU,353940 Piratininga,6.00,0.00,24.00,9.00,34.00,10.00,64.00,19.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,353950 Pitangueiras,87.00,13.00,332.00,42.00,331.00,84.00,750.00,139.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,353960 Planalto,18.00,6.00,54.00,10.00,40.00,2.00,112.00,18.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,353970 Platina,16.00,3.00,62.00,22.00,37.00,18.00,115.00,43.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,353980 Poá,202.00,77.00,971.00,225.00,"1,091.00",27.00,"2,264.00",329.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,353990 Poloni,13.00,0.00,18.00,0.00,13.00,0.00,44.00,0.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354000 Pompéia,22.00,20.00,26.00,24.00,115.00,105.00,163.00,149.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354010 Pongaí,73.00,53.00,30.00,25.00,31.00,16.00,134.00,94.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354020 Pontal,164.00,33.00,347.00,91.00,299.00,147.00,810.00,271.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354025 Pontalinda,1.00,0.00,10.00,1.00,19.00,2.00,30.00,3.00,,,,,,,,,,,,,,,,,,,
