DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19
15.00,SÃO JOSÉ DO RIO PRETO,350260 Aparecida d'Oeste,3.00,0.00,5.00,0.00,47.00,3.00,55.00,3.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350270 Apiaí,13.00,1.00,21.00,6.00,107.00,44.00,141.00,51.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350275 Araçariguama,31.00,19.00,162.00,42.00,202.00,112.00,395.00,173.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350280 Araçatuba,516.00,26.00,"1,475.00",83.00,"1,723.00",97.00,"3,714.00",206.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350290 Araçoiaba da Serra,36.00,9.00,90.00,33.00,128.00,46.00,254.00,88.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,350300 Aramina,0.00,0.00,10.00,5.00,17.00,9.00,27.00,14.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350310 Arandu,5.00,0.00,23.00,0.00,117.00,50.00,145.00,50.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350315 Arapeí,2.00,0.00,12.00,6.00,93.00,62.00,107.00,68.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,350320 Araraquara,439.00,57.00,"1,211.00",111.00,"1,443.00",254.00,"3,093.00",422.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,350330 Araras,91.00,18.00,358.00,62.00,442.00,177.00,891.00,257.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350335 Arco-Íris,2.00,1.00,2.00,1.00,3.00,1.00,7.00,3.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350340 Arealva,46.00,24.00,114.00,55.00,153.00,89.00,313.00,168.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350350 Areias,14.00,1.00,22.00,3.00,44.00,10.00,80.00,14.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350360 Areiópolis,12.00,2.00,61.00,20.00,289.00,123.00,362.00,145.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350370 Ariranha,125.00,73.00,365.00,218.00,507.00,290.00,997.00,581.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350380 Artur Nogueira,86.00,39.00,316.00,124.00,636.00,280.00,"1,038.00",443.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,350390 Arujá,82.00,16.00,431.00,120.00,444.00,178.00,957.00,314.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350395 Aspásia,11.00,1.00,15.00,0.00,16.00,1.00,42.00,2.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350400 Assis,763.00,225.00,"1,197.00",254.00,"1,200.00",253.00,"3,160.00",732.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350410 Atibaia,236.00,146.00,"1,560.00",956.00,"2,080.00","1,525.00","3,876.00","2,627.00",,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350420 Auriflama,4.00,1.00,19.00,0.00,27.00,0.00,50.00,1.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350430 Avaí,1.00,0.00,2.00,1.00,5.00,1.00,8.00,2.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350440 Avanhandava,3.00,3.00,1.00,1.00,21.00,20.00,25.00,24.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350450 Avaré,134.00,54.00,453.00,124.00,625.00,437.00,"1,212.00",615.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350460 Bady Bassitt,97.00,6.00,216.00,34.00,278.00,34.00,591.00,74.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350470 Balbinos,2.00,0.00,14.00,1.00,60.00,12.00,76.00,13.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350480 Bálsamo,37.00,4.00,78.00,10.00,66.00,11.00,181.00,25.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350490 Bananal,17.00,11.00,60.00,50.00,230.00,205.00,307.00,266.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350500 Barão de Antonina,0.00,0.00,0.00,0.00,12.00,1.00,12.00,1.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350510 Barbosa,5.00,0.00,28.00,1.00,22.00,1.00,55.00,2.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350520 Bariri,923.00,823.00,"1,498.00","1,436.00",634.00,618.00,"3,055.00","2,877.00",,,,,,,,,,,,,,,,,,,
6.00,BAURU,350530 Barra Bonita,79.00,13.00,182.00,22.00,284.00,42.00,545.00,77.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350535 Barra do Chapéu,1.00,0.00,4.00,2.00,43.00,14.00,48.00,16.00,,,,,,,,,,,,,,,,,,,
12.00,REGISTRO,350540 Barra do Turvo,1.00,0.00,46.00,13.00,72.00,51.00,119.00,64.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,350550 Barretos,403.00,52.00,"1,199.00",279.00,"1,601.00",582.00,"3,203.00",913.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,350560 Barrinha,77.00,17.00,388.00,107.00,149.00,39.00,614.00,163.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,350570 Barueri,157.00,18.00,"1,112.00",204.00,"2,457.00",196.00,"3,726.00",418.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350580 Bastos,12.00,2.00,76.00,4.00,97.00,14.00,185.00,20.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,350590 Batatais,366.00,151.00,"1,073.00",558.00,277.00,183.00,"1,716.00",892.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350600 Bauru,"1,010.00",367.00,"2,190.00","1,044.00","2,595.00","1,009.00","5,795.00","2,420.00",,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,350610 Bebedouro,"1,642.00",895.00,"3,185.00","1,807.00","1,644.00",201.00,"6,471.00","2,903.00",,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350620 Bento de Abreu,2.00,0.00,6.00,0.00,4.00,2.00,12.00,2.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350630 Bernardino de Campos,24.00,15.00,166.00,156.00,208.00,206.00,398.00,377.00,,,,,,,,,,,,,,,,,,,
4.00,BAIXADA SANTISTA,350635 Bertioga,"1,104.00",520.00,991.00,499.00,802.00,517.00,"2,897.00","1,536.00",,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350640 Bilac,5.00,0.00,21.00,3.00,7.00,1.00,33.00,4.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350650 Birigui,247.00,110.00,931.00,457.00,920.00,395.00,"2,098.00",962.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,350660 Biritiba Mirim,48.00,9.00,220.00,28.00,515.00,305.00,783.00,342.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,350670 Boa Esperança do Sul,36.00,1.00,96.00,7.00,93.00,9.00,225.00,17.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350680 Bocaina,13.00,1.00,37.00,10.00,39.00,12.00,89.00,23.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350690 Bofete,32.00,3.00,87.00,8.00,106.00,15.00,225.00,26.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350700 Boituva,150.00,72.00,390.00,155.00,"1,330.00",798.00,"1,870.00","1,025.00",,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350710 Bom Jesus dos Perdões,46.00,13.00,113.00,34.00,135.00,94.00,294.00,141.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350715 Bom Sucesso de Itararé,0.00,0.00,4.00,0.00,5.00,0.00,9.00,0.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350720 Borá,3.00,0.00,3.00,0.00,21.00,7.00,27.00,7.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350730 Boracéia,83.00,76.00,182.00,105.00,126.00,104.00,391.00,285.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,350740 Borborema,57.00,38.00,139.00,60.00,115.00,76.00,311.00,174.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350745 Borebi,4.00,0.00,15.00,0.00,20.00,1.00,39.00,1.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350750 Botucatu,"1,567.00",773.00,"3,092.00","1,553.00","6,809.00","4,392.00","11,468.00","6,718.00",,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350760 Bragança Paulista,"1,061.00",762.00,"2,578.00","2,086.00","1,360.00","1,056.00","4,999.00","3,904.00",,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350770 Braúna,3.00,3.00,7.00,4.00,0.00,0.00,10.00,7.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350775 Brejo Alegre,4.00,0.00,8.00,0.00,8.00,0.00,20.00,0.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,350780 Brodowski,"1,060.00","1,027.00",824.00,794.00,324.00,299.00,"2,208.00","2,120.00",,,,,,,,,,,,,,,,,,,
6.00,BAURU,350790 Brotas,44.00,21.00,254.00,111.00,315.00,191.00,613.00,323.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350800 Buri,20.00,8.00,139.00,18.00,208.00,51.00,367.00,77.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350810 Buritama,3.00,0.00,63.00,3.00,59.00,9.00,125.00,12.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,350820 Buritizal,9.00,0.00,8.00,0.00,36.00,4.00,53.00,4.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350830 Cabrália Paulista,5.00,0.00,29.00,0.00,15.00,0.00,49.00,0.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350840 Cabreúva,28.00,14.00,322.00,175.00,353.00,137.00,703.00,326.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350850 Caçapava,312.00,19.00,989.00,168.00,"2,161.00","1,280.00","3,462.00","1,467.00",,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350860 Cachoeira Paulista,65.00,7.00,82.00,44.00,93.00,73.00,240.00,124.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,350870 Caconde,11.00,1.00,87.00,12.00,371.00,203.00,469.00,216.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350880 Cafelândia,11.00,3.00,53.00,31.00,74.00,70.00,138.00,104.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,350890 Caiabu,1.00,0.00,19.00,3.00,74.00,27.00,94.00,30.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,350900 Caieiras,210.00,112.00,816.00,336.00,667.00,178.00,"1,693.00",626.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,350910 Caiuá,2.00,0.00,8.00,1.00,9.00,0.00,19.00,1.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,350920 Cajamar,218.00,13.00,"1,121.00",93.00,"1,458.00",333.00,"2,797.00",439.00,,,,,,,,,,,,,,,,,,,
12.00,REGISTRO,350925 Cajati,8.00,6.00,42.00,13.00,82.00,15.00,132.00,34.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,350930 Cajobi,14.00,2.00,14.00,1.00,33.00,10.00,61.00,13.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,350940 Cajuru,8.00,0.00,17.00,1.00,34.00,0.00,59.00,1.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350945 Campina do Monte Alegre,1.00,0.00,19.00,13.00,86.00,57.00,106.00,70.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350950 Campinas,"4,685.00","3,978.00","13,917.00","12,301.00","32,265.00","27,906.00","50,867.00","44,185.00",,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350960 Campo Limpo Paulista,39.00,22.00,312.00,97.00,391.00,175.00,742.00,294.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350970 Campos do Jordão,21.00,0.00,118.00,1.00,184.00,2.00,323.00,3.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350980 Campos Novos Paulista,1.00,0.00,27.00,1.00,21.00,0.00,49.00,1.00,,,,,,,,,,,,,,,,,,,
12.00,REGISTRO,350990 Cananéia,13.00,1.00,88.00,16.00,545.00,281.00,646.00,298.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350995 Canas,9.00,0.00,67.00,18.00,101.00,19.00,177.00,37.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351000 Cândido Mota,80.00,32.00,225.00,117.00,393.00,190.00,698.00,339.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,351010 Cândido Rodrigues,3.00,1.00,9.00,4.00,4.00,0.00,16.00,5.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351015 Canitar,4.00,0.00,60.00,6.00,64.00,8.00,128.00,14.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,351020 Capão Bonito,21.00,0.00,108.00,7.00,150.00,30.00,279.00,37.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,351030 Capela do Alto,34.00,1.00,263.00,35.00,482.00,169.00,779.00,205.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351040 Capivari,226.00,101.00,605.00,283.00,119.00,56.00,950.00,440.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,351050 Caraguatatuba,969.00,95.00,"2,622.00",460.00,"3,605.00","2,036.00","7,196.00","2,591.00",,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351060 Carapicuíba,111.00,15.00,"1,280.00",98.00,"2,298.00",331.00,"3,689.00",444.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351070 Cardoso,21.00,7.00,59.00,11.00,63.00,14.00,143.00,32.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,351080 Casa Branca,145.00,60.00,534.00,175.00,889.00,408.00,"1,568.00",643.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,351090 Cássia dos Coqueiros,2.00,1.00,12.00,6.00,55.00,17.00,69.00,24.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,351100 Castilho,28.00,6.00,75.00,14.00,86.00,3.00,189.00,23.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351110 Catanduva,573.00,268.00,"1,449.00",680.00,"1,942.00",526.00,"3,964.00","1,474.00",,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351120 Catiguá,74.00,26.00,195.00,76.00,91.00,57.00,360.00,159.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351130 Cedral,54.00,9.00,84.00,7.00,118.00,12.00,256.00,28.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351140 Cerqueira César,6.00,0.00,42.00,10.00,65.00,27.00,113.00,37.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,351150 Cerquilho,30.00,1.00,150.00,21.00,197.00,71.00,377.00,93.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,351160 Cesário Lange,13.00,2.00,115.00,7.00,212.00,66.00,340.00,75.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351170 Charqueada,64.00,4.00,196.00,52.00,239.00,65.00,499.00,121.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,351190 Clementina,2.00,1.00,6.00,2.00,8.00,4.00,16.00,7.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,351200 Colina,299.00,174.00,266.00,136.00,384.00,217.00,949.00,527.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,351210 Colômbia,4.00,2.00,19.00,6.00,20.00,4.00,43.00,12.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351220 Conchal,14.00,2.00,107.00,4.00,113.00,18.00,234.00,24.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351230 Conchas,20.00,2.00,126.00,12.00,188.00,33.00,334.00,47.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351240 Cordeirópolis,41.00,6.00,188.00,13.00,89.00,52.00,318.00,71.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,351250 Coroados,13.00,2.00,43.00,5.00,40.00,3.00,96.00,10.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351260 Coronel Macedo,6.00,4.00,58.00,27.00,83.00,50.00,147.00,81.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351270 Corumbataí,1.00,0.00,9.00,0.00,21.00,7.00,31.00,7.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,351280 Cosmópolis,54.00,17.00,515.00,99.00,990.00,171.00,"1,559.00",287.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351290 Cosmorama,22.00,4.00,67.00,10.00,40.00,13.00,129.00,27.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351300 Cotia,451.00,187.00,"1,947.00",666.00,"3,716.00",955.00,"6,114.00","1,808.00",,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,351310 Cravinhos,532.00,303.00,978.00,386.00,807.00,534.00,"2,317.00","1,223.00",,,,,,,,,,,,,,,,,,,
8.00,FRANCA,351320 Cristais Paulista,61.00,38.00,72.00,53.00,56.00,49.00,189.00,140.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351330 Cruzália,10.00,1.00,18.00,7.00,16.00,9.00,44.00,17.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,351340 Cruzeiro,60.00,22.00,234.00,92.00,145.00,86.00,439.00,200.00,,,,,,,,,,,,,,,,,,,
4.00,BAIXADA SANTISTA,351350 Cubatão,98.00,9.00,268.00,14.00,380.00,9.00,746.00,32.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,351360 Cunha,31.00,5.00,170.00,28.00,269.00,72.00,470.00,105.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,351370 Descalvado,20.00,2.00,140.00,56.00,420.00,317.00,580.00,375.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351380 Diadema,234.00,115.00,"1,428.00",593.00,"2,501.00",693.00,"4,163.00","1,401.00",,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351385 Dirce Reis,4.00,1.00,14.00,6.00,7.00,3.00,25.00,10.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,351390 Divinolândia,1.00,0.00,13.00,1.00,38.00,15.00,52.00,16.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,351400 Dobrada,8.00,0.00,37.00,10.00,62.00,14.00,107.00,24.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351410 Dois Córregos,795.00,672.00,"1,090.00",994.00,645.00,543.00,"2,530.00","2,209.00",,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351420 Dolcinópolis,1.00,0.00,8.00,1.00,14.00,2.00,23.00,3.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,351430 Dourado,8.00,0.00,71.00,7.00,88.00,18.00,167.00,25.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,351440 Dracena,103.00,10.00,406.00,40.00,389.00,21.00,898.00,71.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351450 Duartina,6.00,1.00,39.00,4.00,39.00,12.00,84.00,17.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,351460 Dumont,123.00,77.00,254.00,176.00,149.00,72.00,526.00,325.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351470 Echaporã,8.00,3.00,50.00,10.00,73.00,3.00,131.00,16.00,,,,,,,,,,,,,,,,,,,
12.00,REGISTRO,351480 Eldorado,3.00,1.00,117.00,38.00,334.00,141.00,454.00,180.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351490 Elias Fausto,26.00,4.00,108.00,39.00,163.00,50.00,297.00,93.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351492 Elisiário,12.00,5.00,73.00,50.00,127.00,97.00,212.00,152.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351495 Embaúba,11.00,7.00,16.00,4.00,28.00,11.00,55.00,22.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351500 Embu das Artes,335.00,68.00,"1,095.00",250.00,"1,259.00",405.00,"2,689.00",723.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351510 Embu-Guaçu,29.00,19.00,158.00,89.00,648.00,305.00,835.00,413.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,351512 Emilianópolis,1.00,0.00,4.00,1.00,4.00,0.00,9.00,1.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,351515 Engenheiro Coelho,43.00,3.00,137.00,19.00,182.00,37.00,362.00,59.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,351518 Espírito Santo do Pinhal,114.00,37.00,938.00,261.00,457.00,431.00,"1,509.00",729.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351519 Espírito Santo do Turvo,4.00,1.00,20.00,0.00,39.00,6.00,63.00,7.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351520 Estrela d'Oeste,23.00,0.00,34.00,2.00,61.00,6.00,118.00,8.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,351530 Estrela do Norte,14.00,1.00,34.00,6.00,29.00,3.00,77.00,10.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,351535 Euclides da Cunha Paulista,2.00,0.00,11.00,1.00,9.00,2.00,22.00,3.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351540 Fartura,3.00,1.00,75.00,28.00,146.00,105.00,224.00,134.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351550 Fernandópolis,76.00,24.00,259.00,61.00,307.00,104.00,642.00,189.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351560 Fernando Prestes,9.00,1.00,42.00,5.00,25.00,3.00,76.00,9.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351565 Fernão,3.00,0.00,12.00,1.00,19.00,10.00,34.00,11.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351570 Ferraz de Vasconcelos,260.00,95.00,"1,281.00",370.00,"2,250.00",547.00,"3,791.00","1,012.00",,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,351580 Flora Rica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351590 Floreal,3.00,0.00,9.00,0.00,14.00,1.00,26.00,1.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351600 Flórida Paulista,4.00,1.00,33.00,13.00,17.00,9.00,54.00,23.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351610 Florínea,14.00,1.00,48.00,11.00,103.00,22.00,165.00,34.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,351620 Franca,"1,457.00",668.00,"2,380.00","1,269.00",743.00,406.00,"4,580.00","2,343.00",,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351630 Francisco Morato,177.00,128.00,636.00,336.00,695.00,436.00,"1,508.00",900.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,351640 Franco da Rocha,"1,204.00",833.00,"2,441.00","1,667.00","2,462.00","1,654.00","6,107.00","4,154.00",,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,351650 Gabriel Monteiro,3.00,0.00,5.00,0.00,3.00,0.00,11.00,0.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351660 Gália,1.00,0.00,7.00,1.00,26.00,6.00,34.00,7.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351670 Garça,105.00,30.00,315.00,97.00,565.00,135.00,985.00,262.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351680 Gastão Vidigal,3.00,1.00,13.00,3.00,35.00,1.00,51.00,5.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,351685 Gavião Peixoto,9.00,2.00,48.00,3.00,76.00,31.00,133.00,36.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351690 General Salgado,16.00,0.00,27.00,1.00,20.00,2.00,63.00,3.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351700 Getulina,237.00,91.00,107.00,9.00,62.00,3.00,406.00,103.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,351710 Glicério,10.00,0.00,11.00,2.00,23.00,2.00,44.00,4.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,351720 Guaiçara,27.00,5.00,62.00,9.00,45.00,7.00,134.00,21.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351730 Guaimbê,19.00,7.00,20.00,7.00,22.00,5.00,61.00,19.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,351740 Guaíra,196.00,68.00,473.00,112.00,420.00,114.00,"1,089.00",294.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351750 Guapiaçu,93.00,21.00,198.00,29.00,215.00,22.00,506.00,72.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,351760 Guapiara,5.00,0.00,24.00,1.00,46.00,10.00,75.00,11.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,351770 Guará,23.00,10.00,274.00,64.00,71.00,14.00,368.00,88.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,351780 Guaraçaí,3.00,0.00,7.00,2.00,33.00,4.00,43.00,6.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,351790 Guaraci,21.00,4.00,79.00,28.00,90.00,48.00,190.00,80.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,351800 Guarani d'Oeste,1.00,0.00,5.00,2.00,16.00,5.00,22.00,7.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,351810 Guarantã,8.00,1.00,27.00,6.00,14.00,1.00,49.00,8.00,,,,,,,,,,,,,,,,,,,
