Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350315 Arapeí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350320 Araraquara;4;0;3;2;7;7;10;13;17;15;20;43;40;46;69;49;47;47;48;44;38;27;11;9;9;6;6;3;4;5;6;2;5;9;2;5;3;6;8;9;9;3;2;5;12;2;13;6;5;4;1;2;768
10;Piracicaba;XX;PIRACICABA;35101;ARARAS;350330 Araras;1;3;2;0;0;2;1;3;2;5;5;4;0;2;1;1;1;3;1;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;46
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350335 Arco-Íris;18;11;11;23;26;19;13;12;10;9;6;11;8;15;5;6;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;209
6;Bauru;XV;BAURU;35062;BAURU;350340 Arealva;0;0;1;0;0;0;0;1;5;6;9;9;17;37;31;51;33;30;22;28;14;17;9;11;4;1;1;0;0;0;0;0;1;1;3;1;0;0;0;0;2;1;0;3;3;4;7;1;0;2;0;1;367
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350350 Areias;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350360 Areiópolis;0;0;0;1;0;0;0;1;0;0;3;2;0;3;5;2;2;3;0;5;0;0;1;0;0;0;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;350370 Ariranha;0;0;1;0;0;1;0;3;1;0;1;0;1;1;1;3;0;4;8;5;3;2;5;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;5;4;3;64
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;0;0;0;0;0;0;0;0;0;1;2;5;3;0;1;1;4;1;4;7;2;2;0;1;0;0;0;0;0;2;3;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;47
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;0;0;0;0;1;1;0;0;3;0;3;4;6;10;15;12;3;5;7;6;2;7;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;93
15;São José do Rio Preto;XXX;JALES;35153;JALES;350395 Aspásia;0;0;0;1;0;0;1;0;0;0;1;5;5;0;0;2;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
9;Marília;XIII;ASSIS;35092;ASSIS;350400 Assis;12;3;2;7;20;23;35;39;38;58;66;168;234;259;397;376;371;412;336;254;114;22;9;13;12;9;16;5;8;17;9;8;6;10;9;6;6;6;5;9;6;13;5;2;13;8;7;3;10;21;17;3;3517
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;1;5;4;11;10;9;16;3;8;12;13;15;29;35;27;32;25;15;12;33;20;13;15;8;8;11;8;3;3;5;2;5;10;2;6;11;14;20;7;10;11;22;22;14;20;8;9;11;10;12;14;3;652
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;0;0;0;0;0;0;1;0;0;3;2;2;0;1;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
6;Bauru;XV;BAURU;35062;BAURU;350430 Avaí;0;1;0;1;1;0;0;1;0;0;2;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;1;1;0;0;0;0;0;0;0;0;0;0;1;3;3;2;17;5;2;1;3;0;0;1;0;1;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;47
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;0;0;0;0;0;1;1;1;4;3;6;22;18;16;32;21;21;33;36;43;16;13;5;6;3;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;310
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350460 Bady Bassitt;3;0;1;3;5;5;2;4;9;6;6;10;8;11;9;16;13;18;19;12;17;9;8;2;2;3;2;2;1;6;0;0;2;1;0;1;3;0;0;2;0;1;2;0;1;1;2;0;0;1;2;0;231
6;Bauru;XV;BAURU;35062;BAURU;350470 Balbinos;0;0;0;0;0;0;1;2;0;4;36;21;25;37;15;2;6;1;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350480 Bálsamo;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;2;1;0;0;0;0;0;2;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;17
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350490 Bananal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350500 Barão de Antonina;0;0;0;0;0;1;0;1;8;1;8;13;7;39;51;45;24;39;25;15;2;4;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;290
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350510 Barbosa;4;0;1;1;2;6;5;7;13;5;7;7;4;4;6;3;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87
6;Bauru;XV;BAURU;35064;JAU;350520 Bariri;0;0;0;0;0;0;0;0;0;1;0;1;1;6;6;14;2;19;10;18;10;10;13;3;4;4;1;0;2;1;0;5;1;0;0;1;0;2;1;0;0;1;0;9;11;10;22;18;8;10;15;7;247
6;Bauru;XV;BAURU;35064;JAU;350530 Barra Bonita;0;0;0;0;0;0;0;0;3;7;9;15;6;18;19;9;11;11;10;6;6;4;0;1;1;0;0;0;2;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350535 Barra do Chapéu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
